title,company,location,experience_level,url,requirements_and_qualifications,climate_sectors,climate_opportunity_areas,climate_innovation_imperatives,applicable_majors,salary_min,salary_max,salary_type,company_description,skills,due_date,source,scraped_at
Naval Architect - Marine Engineer,Fleetzero,"Houston, TX",Associate,https://jobs.lever.co/fleetzero/ded63698-299c-4553-a0bb-63f032ae689f,"The position requires a Bachelor's degree in Naval Architecture, Marine Engineering, or a related field, along with at least 3 years of experience in naval architecture, including experience producing ship design drawings. Expertise in hull design, hydrodynamics, stability, and propulsion systems is essential, as is familiarity with AutoCAD, Rhino3D, or similar CAD tools and maritime regulations.",Transportation,Vehicle Electrification,Battery Performance,"Naval Architecture, Marine Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering",120000,157000,yearly,Fleetzero is developing electric and hybrid vessels through retrofitting existing ships and building new electric autonomous vessels.,"Naval Architecture, Marine Engineering, Hull Design, Hydrodynamics, Stability Analysis, Propulsion Systems, AutoCAD, Rhino3D, Maritime Regulations, Ship Design",,Lever API,2026-02-14T19:18:06.516505
Energy Systems Research Engineer,Gridmatic,"Cupertino, CA",Entry-Level,https://jobs.lever.co/gridmatic/fef43ee6-b864-43bf-9f98-b8917c8b1f78,"The role requires a MS or PhD in a relevant field such as Electrical Engineering or Operations Research, with a strong background in optimization and a solid understanding of ISO/RTO market rules. Proficiency in Python and experience handling large datasets are also essential.",Electricity,"Energy Storage & Demand Flexibility, Enhanced Transmission & Distribution","Demand Response, Grid Reliability and Resilience","Electrical Engineering, Energy Science & Engineering, Mathematics & Applied Math, Computer Science, Industrial & Systems Engineering",,,yearly,"Gridmatic is an energy company that optimizes renewable energy and grid-scale batteries to deliver affordable, clean power.","Optimization, SCUC/SCED, AI, Python, Data Analysis, Market Modeling, Power Flow Analysis, HPC, Cloud Computing, Power System Simulators",,Lever API,2026-02-14T19:18:08.399254
"Senior Analyst, Retail Operations",Gridmatic,Texas,Senior,https://jobs.lever.co/gridmatic/f240d872-298e-4e4b-92f0-3f5ea1aba701,"The role requires strong analytical and problem-solving skills, a proactive mindset, and the ability to thrive in a fast-paced, data-driven environment. It focuses on ensuring the seamless execution of key operational functions including billing, enrollment, regulatory compliance, broker commissions, and customer support for commercial electricity customers.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Business Administration & Management, Management Science & Engineering, Economics, Data Science & Machine Learning, Energy Science & Engineering",,,yearly,"Gridmatic is a high-growth startup energy company that delivers affordable, clean power by optimizing renewable energy and grid-scale batteries.","Data analysis, Problem-solving, Regulatory compliance, Customer support, Billing, Enrollment, Process Improvement, Cross-functional collaboration, ERCOT, PJM",,Lever API,2026-02-14T19:18:08.401026
"Senior Software Engineer, Data Infrastructure",Gridmatic,"Cupertino, CA",Senior,https://jobs.lever.co/gridmatic/c3bb3e8f-fa80-4ff8-9907-dad0f39e4a18,"The candidate should have experience scaling and ensuring the reliability of data infrastructure, particularly for machine learning applications. Experience with large-scale data processing (petabyte-scale) and building data pipelines is essential.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Computer Science, Data Science & Machine Learning, Mathematics & Applied Math, Electrical Engineering, Energy Science & Engineering",210000,267000,yearly,"Gridmatic is a startup that uses deep learning to forecast energy prices and optimize renewable energy and grid-scale batteries, aiming to decarbonize the grid.","Data infrastructure, Machine learning, Data pipelines, Cloud computing, Python, SQL, Data warehousing, ETL, Distributed systems",,Lever API,2026-02-14T19:18:08.402295
"Senior Software Engineer, Platform",Gridmatic,"Cupertino, CA",Senior,https://jobs.lever.co/gridmatic/6a1f912b-be0b-4e0b-bf4f-6c85cdda42ad,"The candidate must have experience building production infrastructure on a public cloud platform (GCP preferred), Kubernetes, Python, and infrastructure-as-code tools like Terraform. They should also have strong systems thinking and communication skills, with opinions about building reliable infrastructure.",Electricity,Energy Storage & Demand Flexibility,"Demand Response, Distributed Storage","Computer Science, Electrical Engineering, Energy Science & Engineering, Data Science & Machine Learning, Mathematics & Applied Math",209000,235000,yearly,"Gridmatic is an energy company that delivers affordable, clean power by optimizing renewable energy and grid-scale batteries using forecasting and optimization techniques.","Kubernetes, Python, Terraform, GCP, Cloud Infrastructure, Machine Learning, System Design, Go, Real-time Systems, Infrastructure-as-code",,Lever API,2026-02-14T19:18:08.403204
"Software Engineer, Energy Sales Platform",Gridmatic,"Cupertino, CA",Entry-Level,https://jobs.lever.co/gridmatic/79bc50a9-8e39-4c0c-ab64-5d4e609d9b65,"The role requires expertise in building products end-to-end, from data modeling to backend and frontend development. Key is the ability to learn and gather requirements from stakeholders. Experience with AI for automation and processing large-scale timeseries data is important.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Computer Science, Data Science & Machine Learning, Electrical Engineering, Energy Science & Engineering, Mathematics & Applied Math",175000,235000,yearly,"Gridmatic is an energy company that optimizes renewable energy and grid-scale batteries to deliver affordable, clean power.","AI, Machine Learning, Data Modeling, Backend Development, Frontend Development, Pricing Algorithms, Data Analysis, Software Engineering, Python, Cloud Computing",,Lever API,2026-02-14T19:18:08.403934
Corporate Counsel,Voltus,Remote,Associate,https://jobs.lever.co/voltus/44150655-20d1-4958-94cb-40c7dff72d1b,"The candidate must have a Juris Doctor degree and a minimum of five years of relevant legal experience supporting in-house technology companies, preferably in the energy industry. They should have extensive experience drafting, preparing, reviewing, and negotiating complex SaaS, strategic partnership, and product agreements.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Law, Business Administration & Management, Political Science & International Relations, Finance & Accounting, Energy Science & Engineering",140000,160000,yearly,"Voltus is a distributed energy platform that aims to manage energy through simple, cost and risk-free programs for distributed energy resources.","Contract Negotiation, Legal Compliance, Risk Assessment, SaaS Agreements, Partnerships, Data Privacy, Intellectual Property, Legal Advice, Commercial Law, Problem Solving",,Lever API,2026-02-14T19:18:11.972502
Energy Markets Intern,Voltus,Remote,Internship,https://jobs.lever.co/voltus/393be62e-9b99-4158-80ad-6a0d5b73b1c9,"The role requires a desire to learn about energy markets and demand-side management with strong analytical and problem-solving skills. Proficiency in Microsoft Office is expected, and experience with Salesforce or Python is a plus.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Energy Science & Engineering, Electrical Engineering, Industrial & Systems Engineering, Computer Science, Data Science & Machine Learning",20,25,hourly,"Voltus helps commercial and industrial customers manage energy and generate cash through demand response, energy purchasing, and energy efficiency programs.","Energy Markets, Demand Response, Data Analysis, Project Management, Microsoft Office, Salesforce, Python, R, SQL, Business Analysis",,Lever API,2026-02-14T19:18:11.973306
Energy Markets Intern (MISO),Voltus,Remote,Internship,https://jobs.lever.co/voltus/b7833dd8-d742-44d8-aae2-2e7de7541ce4,"The candidate must have a background in a quantitative field and be proficient in Python, R, Matlab, SQL, and Excel. Experience in energy markets, trading, or market analysis is highly desirable. Must be bright, gritty, good, intellectually curious and comfortable working through ambiguity in a remote environment.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Mathematics & Applied Math, Economics, Finance & Accounting, Electrical Engineering, Energy Science & Engineering",,,yearly,Voltus helps commercial and industrial customers generate cash by maximizing the value of their operational flexibility in energy markets through demand response programs.,"Python, R, Matlab, SQL, Excel, Financial Markets, Risk Management, Statistical Modeling, Energy Markets, Demand Response",,Lever API,2026-02-14T19:18:11.974034
IT System Administrator Intern,Voltus,Remote,Internship,https://jobs.lever.co/voltus/7af18b84-6567-433a-aa92-640fab747fcf,"The IT Intern should be highly motivated and detail-oriented, with a focus on delivering excellent user experience and supporting critical governance initiatives. The ideal candidate will have experience with Google Workspace, Microsoft 365, Slack, and other enterprise applications, as well as knowledge of ITIL incident management best practices.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Computer Science, Information Systems & IT, Business Administration & Management, Engineering: Electrical Engineering, Data Science & Machine Learning",25,30,hourly,"Voltus is a remote energy startup focused on providing intelligent solutions for the grid, likely working in demand response and energy management.","IT Support, Service Desk, Zendesk, Google Workspace, Microsoft 365, Slack, JumpCloud, Asset Management, Data Retention, ITIL",,Lever API,2026-02-14T19:18:11.975866
Sales Associate (Remote),Voltus,Remote,Entry-Level,https://jobs.lever.co/voltus/e6e12da1-116e-4fa9-bb36-a6d224aaee4f,"The role requires a college degree and 6 months to 1 year of inside sales experience. Strong communication skills, a technology-oriented mindset, and an interest in energy markets are highly valued.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Business Administration & Management, Economics, Environmental Science, Energy Science & Engineering, Communications & Journalism",55000,94000,yearly,"Voltus is a platform connecting distributed energy resources to electricity markets to deliver less expensive, more reliable, and more sustainable electricity.","Sales, Cold Calling, Prospecting, Communication, Energy Markets, Relationship Management, Account Management, Technology",,Lever API,2026-02-14T19:18:11.976736
Sales Director (CAISO),Voltus,Remote,Associate,https://jobs.lever.co/voltus/6e1d453b-f0e2-45a5-a442-fc7757d9a8d9,"The role requires a strong sales professional with experience in B2B energy sales, specifically Battery Energy Storage System (BESS) optimization services and demand response programs. A college degree (engineering or MBA preferred) and industry knowledge are essential.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Engineering: Electrical Engineering, Engineering: Mechanical Engineering, Business: Business Administration & Management, Energy/Climate: Energy Science & Engineering, Sciences: Physics",,,yearly,"Voltus is a platform connecting distributed energy resources to electricity markets, offering less expensive, more reliable, and more sustainable electricity.","BESS, Demand Response, Sales, Account Management, Energy Markets, CRM, Negotiation, Customer Satisfaction",,Lever API,2026-02-14T19:18:11.977526
Security Engineering Intern,Voltus,Remote,Internship,https://jobs.lever.co/voltus/c9d1b3b7-8647-4167-aa87-02c3ba68ce7e,"The ideal candidate will be a student pursuing a Bachelor's or Master's degree in Computer Science, Cybersecurity, or a related field. They should be detail-oriented, eager to learn about security best practices and cloud security, and proactive in identifying opportunities for automation and process improvement.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Computer Science, Information Systems & IT, Electrical Engineering, Energy Science & Engineering, Data Science & Machine Learning",25,30,hourly,"Voltus is a remote energy startup that provides intelligent solutions for the electric grid, likely related to demand response and grid flexibility.","Vulnerability Management, Risk Assessment, Security Monitoring, SIEM, Endpoint Detection, Security Documentation, Automation, Cloud Security, SOC 2, Software Dependencies",,Lever API,2026-02-14T19:18:11.978807
Software Engineer,Voltus,Remote,Associate,https://jobs.lever.co/voltus/c8e44a4d-f53f-495d-835e-749f1d55d109,"The role requires 2+ years of full-time software engineering experience and a Bachelor's degree in Computer Science, Software Engineering, or a related technical field. Foundational programming skills in a backend language like Python or Go and excellent communication and collaboration skills are necessary.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Computer Science, Electrical Engineering, Energy Science & Engineering, Data Science & Machine Learning, Mathematics & Applied Math",120000,140000,yearly,"Voltus is a leading company for Distributed Energy Resources (DERs), providing a platform that connects any DER to any energy market across the US and Canada.","Python, FastAPI, Postgres, Delta Lake, Dagster, Clickhouse, Docker, AWS, Backend Development, API",,Lever API,2026-02-14T19:18:11.979440
Administration Officer,Omnidian,Brisbane,Entry-Level,https://jobs.lever.co/omnidian/f66045a2-db34-4684-b956-c132ae3c1a2e,"The role requires a customer-focused approach, clear communication skills, attention to detail, basic computer skills, and a willingness to learn. Experience with travel and other booking systems is advantageous.",Electricity,Enhanced Transmission & Distribution,Grid Reliability and Resilience,"Business Administration & Management, Environmental Science, Sustainability & Sustainable Development, Industrial & Systems Engineering, Management Science & Engineering",40000,60000,yearly,"Omnidian is a tech-enabled service company focused on performance assurance for distributed solar and energy storage, offering support across the lifecycle of solar PV systems.","Customer Service, Data Entry, Scheduling, Communication, Office Administration, Travel Booking, Record Keeping",,Lever API,2026-02-14T19:18:20.428426
Capacity Planning Manager,Omnidian,"Remote, US",Associate,https://jobs.lever.co/omnidian/2b1b7f17-dc8b-4861-903f-7cace2df5b72,"The candidate must have 3+ years in capacity planning or forecasting, preferably within support operations. They should have advanced proficiency in Microsoft Excel and experience generating reports from CRM tools (Salesforce) and BI platforms (Sigma, Power BI, or Tableau).",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Data Science & Machine Learning, Business Administration & Management, Management Science & Engineering, Mathematics & Applied Math, Statistics & Biostatistics",85250,120000,yearly,"Omnidian, Inc. is a tech-enabled service company revolutionizing performance assurance for the distributed solar and energy storage industries.","Capacity Planning, Forecasting, Salesforce, Business Intelligence, Data Analysis, Microsoft Excel, Data Modeling, Reporting, Erlang-C formulas",,Lever API,2026-02-14T19:18:20.431241
Casual Laborer (VIC),Omnidian,Melbourne,Entry-Level,https://jobs.lever.co/omnidian/6827564e-ed38-422a-ba4f-c89c07004153,"The role requires a manual driver's license, good communication skills, and a positive attitude with a willingness to learn. Experience in the solar industry is preferred but not required, as the company is willing to train.",Electricity,On-Site Clean Power,Easier-to-Deploy Renewables,"Trades: Electrical Trades & Technology, Engineering: Mechanical Engineering, Engineering: Electrical Engineering, Renewable Energy Engineering, Environmental Science",30,35,hourly,"Omnidian, through its acquisition of Solar Service Guys (SSG) Australia, provides tech-enabled services for solar PV systems, offering monitoring, maintenance, and repair solutions for residential and commercial clients.","Solar PV Systems, Maintenance, Repair, Communication, Renewable Energy, Energy Efficiency",,Lever API,2026-02-14T19:18:20.432588
"Director of Client Success, Residential Markets",Omnidian,"Remote, US",Executive,https://jobs.lever.co/omnidian/cde52955-d2c8-460d-99e2-6289816f56ee,"The role requires 10+ years of experience in the solar industry, with at least 5 years in senior account or asset management, particularly supporting Third-Party Owned (TPO) residential solar assets. Key skills include executive relationship management, team leadership, and a deep understanding of solar asset performance and financial yield.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Demand Response, Flexible EV Charging","Business Administration & Management, Management Science & Engineering, Engineering Physics, Renewable Energy Engineering, Electrical Engineering",135000,175000,yearly,Omnidian is a tech-enabled service company focused on performance assurance for the distributed solar and energy storage industries.,"Client Success Management, Executive Relationship Management, Team Leadership, Financial Analysis, Technical Performance Monitoring, Contract Negotiation, Risk Management, Solar Asset Management",,Lever API,2026-02-14T19:18:20.434666
Electrician (SA),Omnidian,Adelaide,Entry-Level,https://jobs.lever.co/omnidian/ee971b6a-8947-4eae-8c26-543b3b28c04b,"The role requires a valid Australian Electrical Licence, permanent legal rights to work in Australia, and a Manual Driver’s Licence. Additional qualifications like Safe Working at Heights Certificate and Solar and Battery accreditation are highly desired.",Electricity,On-Site Clean Power,Easier-to-Deploy Renewables,"Electrical Engineering, Renewable Energy Engineering, Environmental Engineering, Trades: Electrical Trades & Technology, Engineering: Mechanical Engineering",90000,115000,yearly,"Omnidian is a tech-enabled service company that provides performance assurance for solar PV systems, now expanding into the Australian market through the acquisition of Solar Service Guys (SSG).","Electrical Services, Solar PV Systems, Battery Systems, Workplace Health and Safety, Renewable Energy, Troubleshooting, Maintenance",,Lever API,2026-02-14T19:18:20.449569
GTM Systems Manager,Omnidian,"Remote, US",Associate,https://jobs.lever.co/omnidian/bacdd334-0f42-4035-bfa4-648de66158f4,"The GTM Systems Manager requires expertise in Salesforce and integrated tools such as Ironclad, Gong, and HubSpot. The role involves translating business requirements into systems strategy, managing vendor relationships, and ensuring cross-functional stakeholders have the necessary systems and automation for efficient execution.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Information Systems & IT, Business Administration & Management, Management Science & Engineering, Computer Science, Data Science & Machine Learning",104625,162000,yearly,"Omnidian, Inc. is a tech-enabled service company revolutionizing performance assurance for the distributed solar and energy storage industries.","Salesforce, GTM strategy, System architecture, Data analysis, Vendor management, Automation, Requirements gathering, Business analysis, Integration, Documentation",,Lever API,2026-02-14T19:18:20.451846
"Manager, Field Service",Omnidian,Louisiana,Associate,https://jobs.lever.co/omnidian/64ad403a-2a62-436f-a92a-ebca97105ad9,"The candidate should have experience managing field service technicians, ensuring adherence to key operational metrics such as speed, quality, and cost-efficiency. They should be able to conduct detailed reviews of field service reports, identify and remediate high-variance tickets, and analyze service failure points to implement corrective actions.",Electricity,Energy Storage & Demand Flexibility,Demand Response,"Electrical Engineering, Industrial & Systems Engineering, Business Administration & Management, Engineering Physics, Renewable Energy Engineering",80000,110000,yearly,"Omnidian, Inc. is a tech-enabled service company focused on performance assurance for the distributed solar and energy storage industries.","Field Service Operations, Technician Management, SLA Management, Customer Satisfaction, Root Cause Analysis, Process Improvement, Workforce Planning, Inventory Management, Auditing, Escalation Management",,Lever API,2026-02-14T19:18:20.453452
Sales Officer,Omnidian,Brisbane,Entry-Level,https://jobs.lever.co/omnidian/499eb263-a51f-4985-b0cd-81766330ea1c,"The candidate should have excellent communication skills and a growth-oriented mindset, with the ability to manage high-volume inbound leads and convert inquiries into confirmed appointments. Detail-oriented and able to accurately capture customer data and financial details while multitasking.",Electricity,On-Site Clean Power,Interconnection Acceleration,"Business Administration & Management, Communications & Journalism, Environmental Science, Engineering: Electrical Engineering, Sustainability & Sustainable Development",55000,65000,yearly,Omnidian is a tech-enabled service company revolutionizing performance assurance for the distributed solar and energy storage industries.,"Sales, Customer Service, Lead Management, Communication, Data Entry, Scheduling, Coordination",,Lever API,2026-02-14T19:18:20.454734
"Senior Financial Analyst, Corporate FP&A, Commercial and Operations",Omnidian,"Remote, US",Senior,https://jobs.lever.co/omnidian/78a676d1-e66b-4ac8-b599-e20369950dd3,"The Senior Financial Analyst is responsible for financial reporting, planning, and analysis of Omnidian's operations and field service teams. They will own the forecasting and monthly ""bridge"" for Gross Margin and manage the financial logic between subscription and billable revenue. The role also involves partnering with cross-functional teams to surface actionable insights and supporting the administration of FP&A systems.",Electricity,Enhanced Transmission & Distribution,Grid Reliability and Resilience,"Finance & Accounting, Business Administration & Management, Management Science & Engineering, Economics, Data Science & Machine Learning",85000,145000,yearly,"Omnidian, Inc. is a tech-enabled service company revolutionizing performance assurance for the distributed solar and energy storage industries.","Financial Modeling, FP&A, Variance Analysis, KPI Tracking, Financial Reporting, Data Analysis, Budgeting, Forecasting, System Administration, Salesforce",,Lever API,2026-02-14T19:18:20.456515
Technical Solar Expert,Omnidian,Costa Rica,Entry-Level,https://jobs.lever.co/omnidian/0ef16aac-7e62-48b5-96e9-47fbe617810f,"The candidate must be able to handle customer interactions, troubleshoot solar systems remotely, and work with homeowners and field service partners. Strong communication skills in both English and Spanish are required, along with the ability to identify process improvement opportunities.",Electricity,On-Site Clean Power,Easier-to-Deploy Renewables,"Electrical Engineering, Renewable Energy Engineering, Environmental Engineering, Energy Science & Engineering, Business Administration & Management",1400,2000,yearly,Omnidian is a tech-enabled service company focused on performance assurance for the distributed solar and energy storage industries.,"Customer Service, Technical Troubleshooting, Solar Systems, Communication, Process Improvement, Remote Support, Problem Solving, Spanish Language, English Language",,Lever API,2026-02-14T19:18:20.457866
Technical Solar Supervisor,Omnidian,Costa Rica,Associate,https://jobs.lever.co/omnidian/42fff4ba-d9ba-4236-8bbb-23defcea851a,"The role requires strong leadership and coaching skills to manage a team of Technical Support Experts. Must be able to diagnose and troubleshoot issues with solar systems, collaborate with stakeholders to improve processes, and work with both English and Spanish-speaking customers.",Electricity,On-Site Clean Power,Easier-to-Deploy Renewables,"Electrical Engineering, Renewable Energy Engineering, Energy Science & Engineering, Environmental Engineering, Business Administration & Management",2225,3000,yearly,"Omnidian, Inc. is a tech-enabled service company revolutionizing performance assurance for the distributed solar and energy storage industries.","Team Leadership, Customer Support, Technical Support, Troubleshooting, Process Improvement, Stakeholder Collaboration, Performance Management, Quality Assurance, Solar Technology, Communication Skills",,Lever API,2026-02-14T19:18:20.458956
